instance,run,LB,UB,SD,E,FCFF,time_H,time_SD,time_E,improve,G(UB-OPT),G(UB-LB),LBNoLift,UBNoLS,LBImprov,UBImprov,G(FCFS-UB),prodSeq,logiSeq
0,0,2699.724857084966,2699.833333333334,2699.83,2699.83,2699.833333333334,0.317,0.0,0.0,0.0,1.234644114085717E-4,0.0040178868461465045,2386.371396458919,2699.833333333334,11.606866522108886,0.0,0.0,0-1,0-3-4 | 1-2-5
0,1,2699.724237615995,2699.833333333334,2699.83,2699.83,2699.833333333334,0.337,0.0,0.0,0.0,1.234644114085717E-4,0.004040831557703525,2386.40149577759,2699.833333333334,11.60573133628961,0.0,0.0,0-1,0-3-4 | 1-2-5
0,2,2699.7345878644733,2699.833333333334,2699.83,2699.83,2699.833333333334,0.307,0.0,0.0,0.0,1.234644114085717E-4,0.00365746535689871,2386.3904982428126,2699.833333333334,11.606477578580053,0.0,0.0,0-1,0-3-4 | 1-2-5
0,3,2699.72249476632,2699.833333333334,2699.83,2699.83,2699.833333333334,0.506,0.0,0.0,0.0,1.234644114085717E-4,0.00410538553049215,2386.674672108382,2699.833333333334,11.595555590058323,0.0,0.0,0-1,0-3-4 | 1-2-5
0,4,2699.7620393731595,2699.833333333334,2699.83,2699.83,2699.833333333334,0.386,0.0,0.0,0.0,1.234644114085717E-4,0.0026406800484391787,2386.180810688841,2699.833333333334,11.615143264890367,0.0,0.0,0-1,0-3-4 | 1-2-5
1,0,2568.7712430525476,2604.8333333333335,2604.83,2604.83,2669.0833333333335,0.191,0.0,0.0,0.0,1.2796724039507357E-4,1.384429852739878,2290.2145134259686,2669.0833333333335,10.84396792357274,2.407193480907927,2.407193480907927,1-0,3-4-6-2 | 5-0-1
1,1,2569.245596844239,2604.8333333333335,2604.83,2604.83,2669.0833333333335,0.215,0.0,0.0,0.0,1.2796724039507357E-4,1.3662193290329911,2291.4368284070506,2669.0833333333335,10.812853733345552,2.407193480907927,2.407193480907927,1-0,3-4-6-2 | 5-0-1
1,2,2569.301917870391,2604.8333333333335,2604.83,2604.83,2669.0833333333335,0.217,0.0,0.0,0.0,1.2796724039507357E-4,1.3640571551452663,2279.563200005066,2669.0833333333335,11.276943198076154,2.407193480907927,2.407193480907927,1-0,3-4-6-2 | 5-0-1
1,3,2568.776959826267,2604.8333333333335,2604.83,2604.83,2669.0833333333335,0.199,0.0,0.0,0.0,1.2796724039507357E-4,1.3842103848128369,2281.2993582019135,2669.0833333333335,11.191224700325733,2.407193480907927,2.407193480907927,1-0,3-4-6-2 | 5-0-1
1,4,2569.174848645368,2604.8333333333335,2604.83,2604.83,2669.0833333333335,0.366,0.0,0.0,0.0,1.2796724039507357E-4,1.368935364564546,2284.4441527846766,2669.0833333333335,11.082573691347614,2.407193480907927,2.407193480907927,1-0,3-4-6-2 | 5-0-1
