instance,run,LNS,time,z_FCFS,Gap-FCFS-LNS,
0,0,4240.5,0.581,4331.0,2.089586700531055,
0,1,4240.5,0.626,4331.0,2.089586700531055,
0,2,4240.5,0.579,4331.0,2.089586700531055,
0,3,4240.5,0.607,4331.0,2.089586700531055,
0,4,4240.5,0.595,4331.0,2.089586700531055,
1,0,3941.75,0.556,4136.25,4.702326987005137,
1,1,3941.75,0.626,4136.25,4.702326987005137,
1,2,3941.75,0.616,4136.25,4.702326987005137,
1,3,3799.75,0.628,4136.25,8.135388334844365,
1,4,3915.5,0.571,4136.25,5.336959806588093,
2,0,3885.75,0.627,4301.0,9.654731457800512,
2,1,4080.2499999999995,0.608,4301.0,5.132527319228097,
2,2,4027.75,0.638,4301.0,6.35317368053941,
2,3,3954.5,0.615,4301.0,8.05626598465473,
2,4,4027.75,0.63,4301.0,6.35317368053941,
3,0,3933.75,0.656,4048.25,2.8283826344716854,
3,1,3933.75,0.738,4048.25,2.8283826344716854,
3,2,3933.75,0.626,4048.25,2.8283826344716854,
3,3,3933.75,0.654,4048.25,2.8283826344716854,
3,4,3933.75,0.614,4048.25,2.8283826344716854,
4,0,4088.25,0.63,4484.0,8.825825156110616,
4,1,4088.25,0.647,4484.0,8.825825156110616,
4,2,4088.25,0.64,4484.0,8.825825156110616,
4,3,4054.75,0.719,4484.0,9.57292595896521,
4,4,4019.5,0.636,4484.0,10.359054415700268,
5,0,3968.25,0.664,4442.750000000001,10.68032187271399,
5,1,3968.25,0.673,4442.750000000001,10.68032187271399,
5,2,3968.2499999999995,0.667,4442.750000000001,10.680321872714002,
5,3,3968.25,0.683,4442.750000000001,10.68032187271399,
5,4,3968.2499999999995,0.685,4442.750000000001,10.680321872714002,
6,0,3993.25,0.654,4474.75,10.760377674730432,
6,1,3868.75,0.601,4474.75,13.542656014302475,
6,2,3993.25,0.629,4474.75,10.760377674730432,
6,3,3993.25,0.703,4474.75,10.760377674730432,
6,4,3993.25,0.646,4474.75,10.760377674730432,
7,0,4444.750000000001,0.721,4655.5,4.5269036623348535,
7,1,4576.75,0.703,4655.5,1.6915476318333154,
7,2,4444.750000000001,0.671,4655.5,4.5269036623348535,
7,3,4439.25,0.781,4655.5,4.645043496939104,
7,4,4576.75,0.794,4655.5,1.6915476318333154,
8,0,3587.2500000000005,0.698,3770.5,4.860098130221444,
8,1,3587.2500000000005,0.744,3770.5,4.860098130221444,
8,2,3587.2500000000005,0.686,3770.5,4.860098130221444,
8,3,3587.2500000000005,0.571,3770.5,4.860098130221444,
8,4,3587.2500000000005,0.592,3770.5,4.860098130221444,
9,0,3363.25,0.527,3460.75,2.817308386910352,
9,1,3363.25,0.51,3460.75,2.817308386910352,
9,2,3363.25,0.576,3460.75,2.817308386910352,
