instance,SD,SDgap,E,Egap,time_SD,time_E,Gap-SD-E,prodSeq,logiSeq,
0,4930.750000000001,0.0,4930.75,0.0,0.117,0.107,1.8445362303360098E-14,2-0-1,6-7-9-2-4 | 8-0-1-3-5,
1,4904.75,0.0,4901.250000000001,0.0,0.12,0.107,0.07135939650337103,2-1-0,7-8-5-0-4 | 9-3-6-1-2,
2,4891.749999999998,0.0,4888.250000000002,0.0,0.301,0.304,0.07154903664325371,1-0-2,4-0-5-1-7-9 | 6-2-8-3-10,
3,5044.250000000001,0.0,5044.250000000001,0.0,0.044,0.079,0.0,0-1-2,0-4-3-6-9 | 2-1-5-7-8-10,
4,5162.999999999998,0.0,5163.0,0.0,0.183,0.237,-3.5231249342356325E-14,1-0-2,4-7-2-3-9 | 6-5-0-1-8-10,
5,4955.249999999993,3.880887790182851E-6,4955.25,0.0,0.115,0.306,-1.4683331041185483E-13,2-0-1,7-0-10-4-3 | 9-8-2-1-6-5,
6,4895.75,0.0,4872.250000000001,0.0,0.281,0.612,0.4800081703518172,2-1-0,7-3-10-4-6 | 9-8-5-0-2-1,
7,4869.7499999970005,0.0,4846.249999999999,0.0,0.325,2.434,0.4825709738080162,1-0-2,4-0-7-1-3-11 | 6-5-2-8-10-9,
8,4472.250000000001,0.0,4472.250000000002,0.0,0.048,0.051,-2.0336401180008453E-14,2-0-1,8-1-0-3-6 | 9-2-5-4-7,
9,4420.25,0.0,4420.25,0.0,0.028,0.035,0.0,1-2-0,4-7-3-2-1 | 5-6-8-0,
10,4225.249999999998,0.0,4225.249999999998,0.0,0.031,0.032,0.0,0-2-1,0-2-5-8 | 1-7-6-3-4,
11,4693.249999999995,0.0,4576.500000000001,0.0,0.146,0.781,2.4876151920309946,0-1-2,0-3-2-4-7-8 | 1-5-6-9-10,
12,4739.75,0.0,4713.5,0.0,0.53,4.192,0.5538266786222902,2-1-0,8-4-11-5-7-3 | 10-9-6-0-2-1,
13,4896.75,0.0,4896.75,0.0,0.174,0.521,0.0,1-0-2,4-0-7-1-3 | 6-5-2-8-9-10,
14,4907.4999999999945,0.0,4895.75,0.0,0.33,0.594,0.23942944472734703,2-0-1,7-10-0-4-3 | 9-8-2-1-5-6,
15,5174.25,0.0,5174.25,0.0,0.097,0.041,0.0,1-0-2,3-6-0-8-7 | 5-4-1-2,
16,5024.75,0.0,5024.75,0.0,0.111,0.119,0.0,0-2-1,0-3-6-9-5 | 2-1-8-7-4,
17,5018.250000000001,0.0,5018.250000000001,0.0,0.03,0.018,0.0,2-1-0,6-2-8-0-1 | 7-3-4-5,
18,5031.250000000001,0.0,5031.250000000002,0.0,0.079,0.065,-1.807691332716379E-14,1-0-2,4-6-2-1-9 | 5-0-3-7-10-8,
19,4916.25,0.0,4901.250000000001,0.0,0.106,0.292,0.3051106025934216,0-2-1,0-2-9-10-4 | 1-7-3-8-5-6,
20,4935.75,0.0,4935.75,0.0,0.263,0.213,0.0,1-2-0,4-5-7-9-11-1 | 6-8-10-0-2-3,
21,4870.75,0.0,4870.75,0.0,0.332,0.867,0.0,0-1-2,0-4-3-5-7-9 | 2-1-6-8-10-11,
22,5057.250000000001,0.0,5057.250000000001,0.0,0.089,0.455,0.0,0-1-2,0-1-3-8-7-9 | 2-4-6-5-10-11,
23,5278.250000000001,0.0,5278.25,0.0,0.146,0.411,1.723098947137646E-14,0-1-2,0-1-3-7-8-11 | 2-4-6-5-10-9,
24,5046.25,0.0,5046.250000000001,0.0,0.474,0.638,-1.8023179623937145E-14,2-0-1,8-0-11-1-3-5 | 10-9-2-4-6-7,
25,4641.250000000001,0.0,4641.250000000001,0.0,0.07,0.075,0.0,2-1-0,8-9-6-7-1-3 | 10-4-5-0-2,
26,4500.25,0.0,4316.250000000001,0.0,0.239,0.322,4.088661741014368,1-2-0,4-5-7-8-10-3 | 6-9-0-2-1,
27,4552.25,0.0,4368.250000000002,0.0,0.118,0.153,4.041957273875516,0-1-2,0-1-3-4-6-9 | 2-5-7-8,
28,4251.25,0.0,4251.25,0.0,0.025,0.043,0.0,2-0-1,7-1-2-3 | 8-0-4-5-6,
29,4459.250000000001,0.0,4459.250000000001,0.0,0.026,0.026,0.0,1-2-0,3-5-7-1 | 4-8-6-0-2,
30,4537.250000000001,0.0,4537.250000000001,0.0,0.044,0.05,0.0,0-1-2,0-6-4-7-9 | 1-2-3-5-8,
31,4918.749999999993,0.0,4888.250000000001,0.0,0.12,0.145,0.6200762388816642,2-0-1,8-0-2-4-5-7 | 9-10-1-3-6,
32,5097.0,0.0,5096.250000000001,0.0,0.538,0.519,0.014714537963490102,1-0-2,4-0-6-2-7-10 | 5-1-9-3-8-11,
33,4888.250000000001,0.0,4888.250000000001,0.0,0.032,0.04,0.0,2-0-1,8-2-1-6 | 9-0-5-3-4-7,
34,4940.250000000001,0.0,4940.250000000001,0.0,0.022,0.027,0.0,1-2-0,5-3-1-8-0 | 6-7-9-2-4,
35,4836.250000000001,0.0,4836.250000000001,0.0,0.012,0.022,0.0,0-2-1,0-6-7-2 | 1-5-4-3,
36,4866.25,5.58376812983027E-5,4810.250000000001,0.0,0.096,0.148,1.15078345748778,1-2-0,3-5-8-9-1 | 4-6-7-0-2,
37,4931.249999999994,0.0,4875.250000000001,0.0,0.124,0.273,1.13561470215448,0-1-2,0-2-7-4-9-8 | 1-3-5-6-10,
38,4758.499999999996,5.253756435736849E-5,4758.5,5.2537564358132975E-5,0.099,0.16,-7.64522182849998E-14,2-0-1,8-0-10-1-4-7 | 9-2-3-6-5,
39,4732.250000000001,0.0,4732.250000000001,0.0,0.042,0.048,0.0,1-2-0,4-7-8-0-2 | 5-6-9-1-3,
40,4615.250000000001,0.0,4615.250000000002,0.0,0.069,0.087,-1.9706293305301512E-14,0-1-2,0-3-2-6-5 | 1-4-7-8-9,
41,4615.250000000001,0.0,4615.250000000001,0.0,0.026,0.02,0.0,2-1-0,7-3-5-4-0-2 | 8-6-1,
42,4628.250000000001,0.0,4628.250000000001,0.0,0.022,0.018,0.0,1-0-2,4-0-3-1 | 5-2-6-7,
43,4407.25,0.0,4407.25,0.0,0.028,0.014,0.0,2-0-1,4-0-1 | 5-6-2-3,
44,4550.250000000001,0.0,4550.250000000001,0.0,0.024,0.028,0.0,1-0-2,2-0-1 | 3-4-5-6-7,
45,4420.25,0.0,4420.25,0.0,0.028,0.024,0.0,0-2-1,0-6-7-3 | 1-2-4-5,
46,4524.250000000001,0.0,4524.250000000001,0.0,0.016,0.014,0.0,1-2-0,3-0-5-2-1 | 4-6,
47,4550.250000000001,0.0,4550.250000000001,0.0,0.017,0.023,0.0,0-1-2,0-4-3-7-5-6 | 1-2,
48,4641.250000000001,0.0,4641.250000000001,0.0,0.021,0.018,0.0,0-2-1,0-2-6-4-7-3 | 1-8-5,
49,4771.250000000001,0.0,4771.250000000001,0.0,0.046,0.022,0.0,1-2-0,4-7-8-3-2 | 6-5-0-1,
50,4654.250000000001,0.0,4654.250000000001,0.0,0.039,0.024,0.0,0-1-2,0-1-3-8-5 | 2-4-6-7,
51,4957.750000000001,0.0,4797.250000000002,0.0,0.076,0.059,3.237355655287158,0-1-2,0-2-3-6-9-7 | 1-4-5-8,
52,4602.250000000001,0.0,4602.250000000002,0.0,0.097,0.099,-1.9761957776585974E-14,2-0-1,8-9-2-3-5 | 10-0-1-4-6-7,
53,4784.250000000001,0.0,4784.250000000002,0.0,0.088,0.096,-1.901018345138586E-14,1-0-2,4-5-0-7-3-8-10 | 6-2-1-9,
54,4732.250000000001,0.0,4732.250000000002,0.0,0.069,0.079,-1.9219075530095155E-14,0-2-1,0-1-9-3-5-6 | 2-7-8-10-4,
55,5066.249999999,0.0,4987.5,0.0,0.557,1.937,1.55440414505828,2-0-1,8-9-11-1-3-5 | 10-0-2-4-6-7,
56,4453.999999999996,0.0,4454.0,0.0,0.129,0.385,-8.167891349554818E-14,2-1-0,8-4-6-0-2-3 | 9-10-5-7-1,
57,4311.25,0.0,4290.249999999993,0.0,0.064,0.059,0.48709770948117775,1-2-0,4-7-8-0 | 5-6-1-2-3,
58,4355.25,0.0,4355.25,0.0,0.044,0.045,0.0,0-1-2,0-3-4-7 | 1-2-5-6,
59,4550.250000000001,0.0,4550.250000000001,0.0,0.014,0.014,0.0,2-0-1,5-1-4-3 | 6-0-2,
60,4758.250000000001,0.0,4758.250000000001,0.0,0.03,0.03,0.0,1-0-2,3-0-7-6-5-8-9 | 4-1-2,
61,4654.250000000001,0.0,4654.250000000001,0.0,0.02,0.02,0.0,0-2-1,0-8-6 | 1-7-3-2-5-4,
62,4914.250000000001,0.0,4914.250000000002,0.0,0.052,0.057,-1.8507294129784364E-14,1-2-0,5-7-8-10-2-1 | 6-9-0-3-4,
63,4788.750000000001,0.0,4641.250000000002,0.0,0.093,0.104,3.080135734795073,0-2-1,0-7-6-3-9 | 1-8-2-4-5,
64,4952.75,0.0,4944.750000000001,0.0,0.43,1.177,0.16152642471352463,1-0-2,4-5-7-1-3-9 | 6-0-2-8-10-11,
65,4840.750000000001,0.0,4732.250000000001,0.0,0.296,0.086,2.2413882146361614,2-0-1,8-2-5-4-6-7 | 9-0-3-1,
66,4602.250000000001,0.0,4602.250000000001,0.0,0.017,0.023,0.0,2-1-0,6-7-5-0-1-3 | 8-4-2,
67,4446.250000000001,0.0,4446.250000000001,0.0,0.019,0.022,0.0,1-2-0,2-3-5-0-1 | 4-6-7,
68,4563.250000000001,0.0,4563.250000000001,0.0,0.089,0.032,0.0,0-1-2,0-1-3-5-9-10 | 2-4-8-6-7,
69,4836.250000000001,0.0,4836.250000000002,0.0,0.201,0.352,-1.8805783443224153E-14,0-2-1,0-8-2-9-6-4 | 1-10-11-3-7-5,
70,5162.75,0.0,5162.75,0.0,1.033,2.057,0.0,2-1-0,9-12-5-6-0-3 | 11-10-7-8-1-2-4,
71,5009.0,0.0,5009.0,6.89235566453788E-5,0.216,3.921,0.0,1-2-0,4-5-7-9-11-1 | 6-8-10-0-2-3,
72,4655.999999999983,5.369415807364704E-5,4655.999999999998,5.369415807520956E-5,0.185,0.672,-3.320749555442405E-13,2-0-1,8-0-2-1-4-5-7 | 9-10-3-6,
73,4708.500000000001,0.0,4708.500000000001,0.0,0.102,0.162,0.0,1-2-0,4-7-9-1-2-3 | 5-6-8-0,
74,4565.500000000001,0.0,4511.250000000001,0.0,0.051,0.051,1.1882597743949181,2-0-1,6-7-1-2 | 8-0-3-4-5,
75,4485.250000000001,0.0,4485.250000000001,0.0,0.016,0.026,0.0,2-1-0,6-4-5 | 7-3-0-2-1,
76,4446.250000000001,0.0,4446.250000000002,0.0,0.018,0.089,-2.045532081580946E-14,1-0-2,3-5-2-6-7 | 4-0-1,
77,4537.250000000001,0.0,4537.250000000001,0.0,0.146,0.023,0.0,0-1-2,0-2-3-7 | 1-6-5-4,
78,4823.250000000001,0.0,4823.250000000001,0.0,0.08,0.031,0.0,0-2-1,0-6-7-8 | 1-2-3-5-4,
