instance,run,LNS,time,z_FCFS,Gap-FCFS-LNS,
0,0,2699.833333333334,0.334,2699.833333333334,0.0,
0,1,2699.833333333334,0.313,2699.833333333334,0.0,
0,2,2699.833333333334,0.36,2699.833333333334,0.0,
0,3,2699.833333333334,0.346,2699.833333333334,0.0,
0,4,2699.833333333334,0.321,2699.833333333334,0.0,
1,0,2604.8333333333335,0.389,2669.0833333333335,2.407193480907927,
1,1,2604.8333333333335,0.396,2669.0833333333335,2.407193480907927,
1,2,2604.8333333333335,0.407,2669.0833333333335,2.407193480907927,
1,3,2604.8333333333335,0.402,2669.0833333333335,2.407193480907927,
1,4,2604.8333333333335,0.389,2669.0833333333335,2.407193480907927,
2,0,2582.833333333334,0.445,2630.0833333333335,1.7965210227812634,
2,1,2582.833333333334,0.436,2630.0833333333335,1.7965210227812634,
2,2,2582.833333333334,0.368,2630.0833333333335,1.7965210227812634,
2,3,2582.833333333334,0.362,2630.0833333333335,1.7965210227812634,
2,4,2582.833333333334,0.343,2630.0833333333335,1.7965210227812634,
3,0,2660.833333333334,0.352,2660.833333333334,0.0,
3,1,2660.833333333334,0.337,2660.833333333334,0.0,
3,2,2660.833333333334,0.333,2660.833333333334,0.0,
3,3,2660.833333333334,0.339,2660.833333333334,0.0,
3,4,2660.833333333334,0.331,2660.833333333334,0.0,
4,0,2712.833333333334,0.381,2734.0833333333335,0.7772257612240377,
4,1,2712.833333333334,0.423,2734.0833333333335,0.7772257612240377,
4,2,2712.833333333334,0.384,2734.0833333333335,0.7772257612240377,
4,3,2712.833333333334,0.403,2734.0833333333335,0.7772257612240377,
4,4,2712.833333333334,0.421,2734.0833333333335,0.7772257612240377,
5,0,2751.833333333334,0.355,2751.833333333334,0.0,
5,1,2751.833333333334,0.356,2751.833333333334,0.0,
5,2,2751.833333333334,0.351,2751.833333333334,0.0,
5,3,2751.833333333334,0.351,2751.833333333334,0.0,
5,4,2751.833333333334,0.374,2751.833333333334,0.0,
6,0,2603.3333333333335,0.341,2603.3333333333335,0.0,
6,1,2603.3333333333335,0.362,2603.3333333333335,0.0,
6,2,2603.3333333333335,0.342,2603.3333333333335,0.0,
6,3,2603.3333333333335,0.359,2603.3333333333335,0.0,
6,4,2603.3333333333335,0.345,2603.3333333333335,0.0,
7,0,2486.3333333333335,0.368,2486.3333333333335,0.0,
7,1,2486.3333333333335,0.374,2486.3333333333335,0.0,
7,2,2486.3333333333335,0.376,2486.3333333333335,0.0,
7,3,2486.3333333333335,0.371,2486.3333333333335,0.0,
7,4,2486.3333333333335,0.37,2486.3333333333335,0.0,
8,0,2604.8333333333335,0.379,2669.0833333333335,2.407193480907927,
8,1,2604.8333333333335,0.477,2669.0833333333335,2.407193480907927,
8,2,2604.8333333333335,0.379,2669.0833333333335,2.407193480907927,
8,3,2604.8333333333335,0.395,2669.0833333333335,2.407193480907927,
8,4,2604.8333333333335,0.398,2669.0833333333335,2.407193480907927,
9,0,2387.833333333334,0.297,2387.833333333334,0.0,
9,1,2387.833333333334,0.311,2387.833333333334,0.0,
9,2,2387.833333333334,0.308,2387.833333333334,0.0,
9,3,2387.833333333334,0.352,2387.833333333334,0.0,
9,4,2387.833333333334,0.32,2387.833333333334,0.0,
10,0,2270.833333333334,0.3,2270.833333333334,0.0,
10,1,2270.833333333334,0.307,2270.833333333334,0.0,
10,2,2270.833333333334,0.298,2270.833333333334,0.0,
10,3,2270.833333333334,0.329,2270.833333333334,0.0,
10,4,2270.833333333334,0.304,2270.833333333334,0.0,
11,0,2446.333333333333,0.402,2500.8333333333335,2.1792735754748596,
11,1,2446.333333333333,0.406,2500.8333333333335,2.1792735754748596,
11,2,2446.333333333333,0.389,2500.8333333333335,2.1792735754748596,
11,3,2446.333333333333,0.417,2500.8333333333335,2.1792735754748596,
11,4,2446.333333333333,0.386,2500.8333333333335,2.1792735754748596,
12,0,2565.8333333333335,0.401,2565.8333333333335,0.0,
12,1,2565.8333333333335,0.379,2565.8333333333335,0.0,
12,2,2565.8333333333335,0.383,2565.8333333333335,0.0,
12,3,2565.8333333333335,0.401,2565.8333333333335,0.0,
12,4,2565.8333333333335,0.409,2565.8333333333335,0.0,
13,0,2512.3333333333335,0.407,2512.3333333333335,0.0,
13,1,2512.3333333333335,0.375,2512.3333333333335,0.0,
13,2,2512.3333333333335,0.376,2512.3333333333335,0.0,
13,3,2512.3333333333335,0.39,2512.3333333333335,0.0,
13,4,2512.3333333333335,0.379,2512.3333333333335,0.0,
14,0,2603.3333333333335,0.355,2603.3333333333335,0.0,
