instance,SD,SDgap,E,Egap,time_SD,time_E,Gap-SD-E,prodSeq,logiSeq,
0,2699.833333333333,0.0,2699.833333333333,0.0,0.026,0.02,0.0,0-1,0-4-3 | 1-2-5,
1,2604.8333333333303,0.0,2604.833333333333,0.0,0.025,0.024,-1.0474697441879025E-13,1-0,3-4-6-2 | 5-0-1,
2,2565.833333333333,0.0,2565.833333333333,0.0,0.026,0.035,0.0,0-1,0-4-3 | 2-1-6-5,
3,2660.833333333333,0.0,2660.833333333333,0.0,0.021,0.053,0.0,0-1,0-3-5-6 | 2-1-4,
4,2712.833333333333,0.0,2712.833333333333,0.0,0.026,0.03,0.0,1-0,4-5-7-1 | 6-0-2-3,
5,2751.833333333333,0.0,2751.833333333333,0.0,0.099,0.03,0.0,0-1,0-3-4-5 | 2-1-6,
6,2603.33333307635,0.0,2603.333333333333,0.0,0.029,0.037,-9.871313123413028E-9,1-0,3-4-6-1 | 5-0-2,
7,2486.3333330880505,0.0,2486.333333333333,0.0,0.032,0.034,-9.865231357019997E-9,0-1,0-4-3-7 | 2-1-6-5,
8,2604.833333333333,0.0,2604.833333333333,0.0,0.058,0.205,0.0,0-1,0-4-3-7 | 2-1-6-5,
9,2387.833333333333,0.0,2387.833333333333,0.0,0.009,0.016,0.0,1-0,4-2-1-3 | 5-0,
10,2270.8333333333335,0.0,2270.8333333333326,0.0,0.009,0.157,4.005114283036748E-14,0-1,0-2 | 1-3-4,
11,2446.3333333333335,0.0,2361.833333333333,0.0,0.025,0.022,3.4541490666303494,0-1,0-3-5-6 | 1-2-4,
12,2511.3333330832,0.0,2491.833333333333,0.0,0.035,0.03,0.7764799476430593,1-0,4-5-7-3 | 6-0-2-1,
13,2512.333333333333,0.0,2512.333333333333,0.0,0.066,0.028,0.0,1-0,4-0-7-1-3 | 6-5-2,
14,2603.3333330776495,0.0,2603.3333330739997,0.0,0.025,0.024,1.401972690873197E-10,0-1,0-4-3 | 2-1-5-6,
15,2667.3333333333335,0.0,2667.3333333333335,0.0,0.037,0.02,0.0,1-0,3-6-0 | 5-4-1-2,
16,2680.333333333333,0.0,2680.333333333333,0.0,0.021,0.019,0.0,0-1,0-3-4 | 2-1-5,
17,2732.333333333333,0.0,2732.333333333333,0.0,0.019,0.017,0.0,1-0,2-5-0 | 4-3-1,
18,2608.833333333333,0.0,2608.833333333333,0.0,0.021,0.021,0.0,1-0,4-0-6-1 | 5-2-3,
19,2712.833333333333,0.0,2712.833333333333,0.0,0.02,0.022,0.0,0-1,0-4-2-6 | 1-3-5,
20,2642.333333333332,0.0,2642.3333330701,0.0,0.034,0.035,9.962116426770535E-9,1-0,4-5-7-1 | 6-0-2-3,
21,2525.3333330841497,0.0,2525.3333330817995,0.0,0.031,0.028,9.306234066577915E-11,0-1,0-1-3-5 | 2-4-6-7,
22,2647.833333333333,0.0,2647.833333333333,0.0,0.036,0.034,0.0,0-1,0-4-3-5-7 | 2-1-6,
23,2764.833333333333,0.0,2764.833333333333,0.0,0.04,0.023,0.0,0-1,0-4-3-5 | 2-1-6-7,
24,2829.833333333333,0.0,2829.833333333333,0.0,0.034,0.026,0.0,0-1,0-1-3-7 | 2-4-6-5,
25,2655.0833330711503,0.0,2655.0833330688247,0.0,0.028,0.031,8.758964072677026E-11,1-0,4-0-7-1 | 6-5-2-3,
26,2374.8333333333335,0.0,2374.833333333333,0.0,0.013,0.026,1.914860064087855E-14,1-0,4-5-2-3 | 6-0-1,
27,2356.333333333333,0.0,2283.8333333333335,0.0,0.021,0.019,3.0768142594426178,0-1,0-1-5-6 | 2-3-4,
28,2460.333333333333,0.0,2460.333333333333,0.0,0.029,0.023,0.0,0-1,0-1-3-6 | 2-4-5,
29,2348.8333333333335,0.0,2348.833333333333,0.0,0.007,0.028,1.9360562728438122E-14,1-0,3-1 | 4-0-2,
30,2309.8333333333335,0.0,2309.8333333333335,0.0,0.018,0.019,0.0,0-1,0-3-2 | 1-4-5,
31,2663.833333333333,0.0,2663.8333333333317,0.0,0.039,0.037,5.121349130924329E-14,0-1,0-1-3-6-7 | 2-4-5,
32,2660.833333333333,0.0,2660.833333333333,0.0,0.024,0.02,0.0,1-0,4-0-1-2 | 5-6-3,
33,2634.833333333333,0.0,2634.833333333333,0.0,0.04,0.033,0.0,0-1,0-3-2-4 | 1-5-6-7,
34,2634.833333333333,0.0,2634.833333333333,0.0,0.018,0.019,0.0,1-0,5-1-2 | 6-0-3-4,
35,2582.833333333333,0.0,2582.833333333333,0.0,0.059,0.055,0.0,0-1,0-3-4 | 1-2,
