instance,run,LB,UB,FCFF,time_H,G(UB-LB),LBNoLift,UBNoLS,LBImprov,UBImprov,G(FCFS-UB),prodSeq,logiSeq
0,0,114986.58189041777,117820.33333333336,132451.83333333334,8.976,2.4051463467671836,111998.3634999479,132451.83333333334,2.598753994894507,11.046657212496104,11.046657212496104,10-17-3-6-11-19-0-1-15-12-14-7-8-2-16-13-18-5-4-9,36-60-10-12-11-39-40-0-68-2-3-5-55-43-44-50-24-26-28-30-8-9-56-59-45-48-62-63-17-19-13-14-16-33-35 | 37-61-21-23-22-38-66-67-1-4-53-54-41-42-49-51-52-25-27-29-31-6-7-58-57-47-46-64-65-18-20-15-32-34
0,1,115235.88078642997,117578.58333333334,132451.83333333334,8.663,1.9924568577781259,114849.26410925423,132451.83333333334,0.33550025785134546,11.229176392424415,11.229176392424415,10-17-3-6-11-19-0-1-15-14-7-2-5-4-12-18-9-13-16-8,36-60-10-11-21-23-39-66-0-68-2-5-54-55-52-25-6-8-9-18-20-14-16-43-62-63-65-33-35-47-56-57-59-30 | 37-61-12-22-38-40-67-1-3-4-53-49-51-50-24-26-27-7-17-19-13-15-41-42-44-64-32-34-45-46-48-58-28-29-31
0,2,115238.41305939177,117695.83333333334,132451.83333333334,9.982,2.087941607059081,114807.96878088618,132451.83333333334,0.37352499663783467,11.140653646419892,11.140653646419892,10-17-3-6-11-19-0-1-15-14-7-2-5-4-12-18-9-13-16-8,36-60-10-11-21-23-39-66-0-68-2-5-54-55-52-25-6-8-9-18-20-14-16-43-62-63-65-33-35-47-56-57-59-30 | 37-61-12-22-38-40-67-1-3-4-53-49-51-50-24-26-27-7-17-19-13-15-41-42-44-64-32-34-45-46-48-58-28-29-31
0,3,115205.3605272753,118022.08333333336,132451.83333333334,12.813,2.3866065794675873,114632.66044901508,132451.83333333334,0.49711235279250515,10.894337690053353,10.894337690053353,10-17-3-6-11-19-0-1-15-14-7-2-5-4-12-18-9-13-16-8,36-60-10-11-21-23-39-66-0-68-2-5-54-55-52-25-6-8-9-18-20-14-16-43-62-63-65-33-35-47-56-57-59-30 | 37-61-12-22-38-40-67-1-3-4-53-49-51-50-24-26-27-7-17-19-13-15-41-42-44-64-32-34-45-46-48-58-28-29-31
0,4,115238.34471523456,117586.33333333334,132451.83333333334,18.454,1.9968210178326686,114807.41832646032,132451.83333333334,0.37394357740828704,11.223325208786589,11.223325208786589,10-17-3-6-11-19-0-1-15-14-7-2-5-4-12-18-9-13-16-8,36-60-10-11-21-23-39-66-0-68-2-5-54-55-52-25-6-8-9-18-20-14-16-43-62-63-65-33-35-47-56-57-59-30 | 37-61-12-22-38-40-67-1-3-4-53-49-51-50-24-26-27-7-17-19-13-15-41-42-44-64-32-34-45-46-48-58-28-29-31
1,0,116806.67898793219,118972.33333333334,132705.83333333334,7.836,1.8203008083681824,116427.90487550727,132705.83333333334,0.32427436145500543,10.348829177315741,10.348829177315741,9-16-2-5-10-18-0-14-15-12-1-4-13-17-8-3-19-7-6-11,34-58-8-20-19-37-64-0-2-51-55-54-44-43-5-4-16-15-48-47-61-60-31-30-12-11-68-69-27-21-23-38-40 | 33-57-7-9-18-35-36-63-65-1-50-52-53-56-42-45-3-6-14-17-46-49-59-62-29-32-10-13-66-67-25-26-28-22-24-39-41
1,1,116810.62167293059,119115.58333333334,132705.83333333334,11.909,1.9350630672332298,116463.29955607312,132705.83333333334,0.2973377864814112,10.240883658718845,10.240883658718845,9-16-2-5-10-18-0-14-15-12-1-4-13-17-8-3-19-7-6-11,34-58-8-20-19-37-64-0-2-51-55-54-44-43-5-4-16-15-48-47-61-60-31-30-12-11-68-69-27-21-23-38-40 | 33-57-7-9-18-35-36-63-65-1-50-52-53-56-42-45-3-6-14-17-46-49-59-62-29-32-10-13-66-67-25-26-28-22-24-39-41
1,2,116807.86105264486,118979.08333333334,132705.83333333334,11.934,1.8248772976385752,116439.38882681982,132705.83333333334,0.31545156507828814,10.343742739266673,10.343742739266673,9-16-2-5-10-18-0-14-15-12-1-4-13-17-8-3-19-7-6-11,34-58-8-20-19-37-64-0-2-51-55-54-44-43-5-4-16-15-48-47-61-60-31-30-12-11-68-69-27-21-23-38-40 | 33-57-7-9-18-35-36-63-65-1-50-52-53-56-42-45-3-6-14-17-46-49-59-62-29-32-10-13-66-67-25-26-28-22-24-39-41
1,3,116808.66010711297,119192.83333333336,132705.83333333334,13.175,2.0002655860632452,116441.49676769918,132705.83333333334,0.31432886831944035,10.182672201046163,10.182672201046163,9-16-2-5-10-18-0-14-15-12-1-4-13-17-8-3-19-7-6-11,34-58-8-20-19-37-64-0-2-51-55-54-44-43-5-4-16-15-48-47-61-60-31-30-12-11-68-69-27-21-23-38-40 | 33-57-7-9-18-35-36-63-65-1-50-52-53-56-42-45-3-6-14-17-46-49-59-62-29-32-10-13-66-67-25-26-28-22-24-39-41
1,4,116823.6339806655,119170.08333333334,132705.83333333334,9.097,1.968991954217683,116473.49188604423,132705.83333333334,0.29971854383439556,10.199815381137478,10.199815381137478,9-16-2-5-10-18-0-14-15-12-1-4-13-17-8-3-19-7-6-11,34-58-8-20-19-37-64-0-2-51-55-54-44-43-5-4-16-15-48-47-61-60-31-30-12-11-68-69-27-21-23-38-40 | 33-57-7-9-18-35-36-63-65-1-50-52-53-56-42-45-3-6-14-17-46-49-59-62-29-32-10-13-66-67-25-26-28-22-24-39-41
