instance,run,LB,UB,SD,E,FCFF,time_H,time_SD,time_E,improve,G(UB-OPT),G(UB-LB),LBNoLift,UBNoLS,LBImprov,UBImprov,G(FCFS-UB),prodSeq,logiSeq
0,0,4872.51239,4930.75,4930.75,4930.75,5073.75,0.184,0,0,0,0,1.181110582,4423.348139,5073.75,9.218329588,2.818428184,2.818428184,2-0-1,8-0-1-3-4 | 6-7-9-2-5
0,1,4874.168403,4930.75,4930.75,4930.75,5073.75,0.175,0,0,0,0,1.147525164,4429.966068,5073.75,9.113397369,2.818428184,2.818428184,2-0-1,8-0-1-3-4 | 6-7-9-2-5
0,2,4874.327979,4930.75,4930.75,4930.75,5073.75,0.183,0,0,0,0,1.144288815,4423.834997,5073.75,9.242155725,2.818428184,2.818428184,2-0-1,8-0-1-3-4 | 6-7-9-2-5
0,3,4873.707637,4930.75,4930.75,4930.75,5073.75,0.182,0,0,0,0,1.156869907,4417.253573,5073.75,9.365643127,2.818428184,2.818428184,2-0-1,8-0-1-3-4 | 6-7-9-2-5
0,4,4873.01093,4930.75,4930.75,4930.75,5073.75,0.181,0,0,0,0,1.170999755,4413.261766,5073.75,9.434601534,2.818428184,2.818428184,2-0-1,8-0-1-3-4 | 6-7-9-2-5
1,0,4847.859321,4901.25,4904.75,4901.25,5047.75,0.168,0,0,0.071410355,1.86E-14,1.089327812,4399.228134,5047.75,9.254212152,2.902283195,2.902283195,2-1-0,9-8-5-1 | 7-3-6-4-0-2
1,1,4847.27283,4901.25,4904.75,4901.25,5047.75,0.17,0,0,0.071410355,1.86E-14,1.101293964,4389.325005,5047.75,9.447535565,2.902283195,2.902283195,2-1-0,9-8-5-1 | 7-3-6-4-0-2
1,2,4850.345798,4904.75,4904.75,4901.25,5047.75,0.264,0,0,0.071410355,0.071359397,1.109214579,4413.664932,5047.75,9.003087286,2.832945372,2.832945372,2-1-0,9-8-5-1 | 7-3-6-4-0-2
1,3,4849.683402,4901.25,4904.75,4901.25,5047.75,0.288,0,0,0.071410355,1.86E-14,1.052111165,4408.565391,5047.75,9.095810459,2.902283195,2.902283195,2-1-0,9-8-5-1 | 7-3-6-4-0-2
1,4,4846.926389,4901.25,4904.75,4901.25,5047.75,0.177,0,0,0.071410355,1.86E-14,1.10836237,4395.579898,5047.75,9.312014572,2.902283195,2.902283195,2-1-0,9-8-5-1 | 7-3-6-4-0-2
2,0,4833.629172,4891.75,4891.75,4888.25,5034.75,0.189,0,0,0.071600266,0.071549037,1.188139786,4386.860932,5034.75,9.242915088,2.840260192,2.840260192,2000/1/2,0-4-3-5-7-8 | 2-1-6-9-10
2,1,4833.695929,4888.25,4891.75,4888.25,5034.75,0.2,0,0,0.071600266,1.86E-14,1.116024573,4374.440859,5034.75,9.501116257,2.90977705,2.90977705,1-0-2,4-5-0-7-9-8 | 6-1-2-3-10
2,2,4838.661079,4888.25,4891.75,4888.25,5034.75,0.324,0,0,0.071600266,1.86E-14,1.014451407,4395.750209,5034.75,9.153583246,2.90977705,2.90977705,1-0-2,4-5-0-7-9-8 | 6-1-2-3-10
2,3,4833.256388,4888.25,4891.75,4888.25,5034.75,0.197,0,0,0.071600266,1.86E-14,1.125016361,4383.30718,5034.75,9.309442156,2.90977705,2.90977705,1-0-2,4-5-0-7-9-8 | 6-1-2-3-10
2,4,4833.864311,4888.25,4891.75,4888.25,5034.75,0.19,0,0,0.071600266,1.86E-14,1.112579941,4383.57491,5034.75,9.315309069,2.90977705,2.90977705,1-0-2,4-5-0-7-9-8 | 6-1-2-3-10
3,0,5044.111429,5044.25,5044.25,5044.25,5044.25,8.195,0,0,0,1.80E-14,0.002747099,4573.472759,5044.25,9.330457455,0,0,2000/2/1,0-1-9-3-5-6 | 2-7-8-10-4
3,1,5044.143121,5044.25,5044.25,5044.25,5044.25,0.753,0,0,0,1.80E-14,0.002118823,4573.433442,5044.25,9.331806563,0,0,2000/2/1,0-1-9-3-5-6 | 2-7-8-10-4
3,2,5044.16307,5044.25,5044.25,5044.25,5044.25,1.114,0,0,0,1.80E-14,0.001723344,4573.391862,5044.25,9.332989475,0,0,2000/2/1,0-1-9-3-5-6 | 2-7-8-10-4
3,3,5044.161705,5044.25,5044.25,5044.25,5044.25,1.334,0,0,0,1.80E-14,0.0017504,4573.445076,5044.25,9.331909974,0,0,2000/2/1,0-1-9-3-5-6 | 2-7-8-10-4
3,4,5044.117974,5044.25,5044.25,5044.25,5044.25,1.05,0,0,0,1.80E-14,0.002617348,4573.455119,5044.25,9.330924812,0,0,2000/2/1,0-1-9-3-5-6 | 2-7-8-10-4
4,0,5159.99655,5163,5163,5163,5163,0.234,0,0,0,1.76E-14,0.058172573,4690.135793,5163,9.105834722,0,0,1-0-2,4-5-7-1-8-10 | 6-0-2-3-9
4,1,5159.937181,5163,5163,5163,5163,0.476,0,0,0,1.76E-14,0.059322477,4690.500187,5163,9.097726912,0,0,1-0-2,4-5-7-1-8-10 | 6-0-2-3-9
4,2,5159.874112,5163,5163,5163,5163,0.239,0,0,0,1.76E-14,0.060544032,4690.123431,5163,9.103917463,0,0,1-0-2,4-5-7-1-8-10 | 6-0-2-3-9
