instance,run,LNS,time,z_FCFS,Gap-FCFS-LNS
0,0,55453.02778,343.025,55453.02778,0
0,1,55453.02778,338.256,55453.02778,0
0,2,55453.02778,319.01,55453.02778,0
0,3,55453.02778,330.855,55453.02778,0
0,4,55453.02778,345.488,55453.02778,0
1,0,55753.27778,311.735,55753.27778,0
1,1,55753.27778,350.997,55753.27778,0
1,2,55753.27778,323.767,55753.27778,0
1,3,55753.27778,329.263,55753.27778,0
1,4,55753.27778,294.273,55753.27778,0
2,0,55451.69444,320.54,55451.69444,0
2,1,55451.69444,304.237,55451.69444,0
2,2,55451.69444,328.163,55451.69444,0
2,3,55451.69444,297.751,55451.69444,0
2,4,55451.69444,342.868,55451.69444,0
3,0,55857.02778,293.787,55857.02778,0
3,1,55857.02778,302.456,55857.02778,0
3,2,55857.02778,346.306,55857.02778,0
3,3,55857.02778,341.154,55857.02778,0
3,4,55857.02778,342.826,55857.02778,0
4,0,56191.11111,366.16,56191.11111,0
4,1,56191.11111,361.656,56191.11111,0
4,2,56191.11111,314.9,56191.11111,0
4,3,56191.11111,355.172,56191.11111,0
4,4,56191.11111,318.54,56191.11111,0
5,0,56119.02778,285.459,56119.02778,0
5,1,56119.02778,334.676,56119.02778,0
5,2,56119.02778,358.165,56119.02778,0
5,3,56119.02778,326.31,56119.02778,0
5,4,56119.02778,295.272,56119.02778,0
6,0,56275.94444,350.835,56275.94444,0
6,1,56275.94444,277.904,56275.94444,0
6,2,56275.94444,326.492,56275.94444,0
6,3,56275.94444,350.987,56275.94444,0
6,4,56275.94444,324.109,56275.94444,0
7,0,55852.19444,314.279,55852.19444,0
7,1,55852.19444,318.969,55852.19444,0
7,2,55852.19444,335.584,55852.19444,0
7,3,55852.19444,355.619,55852.19444,0
7,4,55852.19444,349.152,55852.19444,0
8,0,56332.02778,323.725,56332.02778,0
8,1,56332.02778,331.319,56332.02778,0
8,2,56332.02778,343.767,56332.02778,0
8,3,56332.02778,322.729,56332.02778,0
