instance,run,LNS,time,z_FCFS,Gap-FCFS-LNS,
0,0,132726.52777777778,336.994,132726.52777777778,0.0,
0,1,132726.52777777778,363.137,132726.52777777778,0.0,
0,2,132726.52777777778,299.432,132726.52777777778,0.0,
0,3,132726.52777777778,319.397,132726.52777777778,0.0,
0,4,132726.52777777778,298.438,132726.52777777778,0.0,
1,0,133579.27777777778,337.244,133579.27777777778,0.0,
1,1,133579.27777777778,353.482,133579.27777777778,0.0,
1,2,133579.27777777778,303.504,133579.27777777778,0.0,
1,3,133579.27777777778,352.032,133579.27777777778,0.0,
1,4,133579.27777777778,344.614,133579.27777777778,0.0,
2,0,132772.11111111112,300.191,132772.11111111112,0.0,
2,1,132772.11111111112,319.192,132772.11111111112,0.0,
2,2,132772.11111111112,345.994,132772.11111111112,0.0,
2,3,132772.11111111112,337.993,132772.11111111112,0.0,
2,4,132772.11111111112,310.665,132772.11111111112,0.0,
3,0,133516.02777777778,345.764,133516.02777777778,0.0,
3,1,133516.02777777778,297.805,133516.02777777778,0.0,
3,2,133516.02777777778,337.029,133516.02777777778,0.0,
3,3,133516.02777777778,285.959,133516.02777777778,0.0,
3,4,133516.02777777778,344.381,133516.02777777778,0.0,
4,0,134752.69444444447,326.87,134752.69444444447,0.0,
4,1,134752.69444444447,327.64,134752.69444444447,0.0,
4,2,134752.69444444447,330.277,134752.69444444447,0.0,
4,3,134752.69444444447,305.685,134752.69444444447,0.0,
4,4,134752.69444444447,320.785,134752.69444444447,0.0,
5,0,134137.94444444444,341.309,134137.94444444444,0.0,
5,1,134137.94444444444,355.067,134137.94444444444,0.0,
5,2,134137.94444444444,344.088,134137.94444444444,0.0,
5,3,134137.94444444444,329.375,134137.94444444444,0.0,
5,4,134137.94444444444,352.804,134137.94444444444,0.0,
6,0,134328.69444444447,315.834,134328.69444444447,0.0,
6,1,134328.69444444447,292.741,134328.69444444447,0.0,
6,2,134328.69444444447,337.086,134328.69444444447,0.0,
6,3,134328.69444444447,324.735,134328.69444444447,0.0,
6,4,134328.69444444447,309.786,134328.69444444447,0.0,
7,0,133353.61111111112,330.182,133353.61111111112,0.0,
7,1,133353.61111111112,329.468,133353.61111111112,0.0,
7,2,133353.61111111112,323.274,133353.61111111112,0.0,
7,3,133353.61111111112,321.734,133353.61111111112,0.0,
7,4,133353.61111111112,296.985,133353.61111111112,0.0,
8,0,134854.94444444444,286.771,134854.94444444444,0.0,
8,1,134854.94444444444,331.68,134854.94444444444,0.0,
8,2,134854.94444444444,290.177,134854.94444444444,0.0,
8,3,134854.94444444444,306.843,134854.94444444444,0.0,
8,4,134854.94444444444,335.088,134854.94444444444,0.0,
9,0,135548.94444444447,324.602,135548.94444444447,0.0,
9,1,135548.94444444447,373.434,135548.94444444447,0.0,
9,2,135548.94444444447,304.811,135548.94444444447,0.0,
9,3,135548.94444444447,331.748,135548.94444444447,0.0,
9,4,135548.94444444447,279.213,135548.94444444447,0.0,
10,0,134857.02777777778,318.57,134857.02777777778,0.0,
10,1,134857.02777777778,320.056,134857.02777777778,0.0,
10,2,134857.02777777778,338.478,134857.02777777778,0.0,
10,3,134857.02777777778,317.238,134857.02777777778,0.0,
10,4,134857.02777777778,330.964,134857.02777777778,0.0,
11,0,134977.6111111111,324.321,134977.6111111111,0.0,
11,1,134977.6111111111,313.704,134977.6111111111,0.0,
11,2,134977.6111111111,309.354,134977.6111111111,0.0,
11,3,134977.6111111111,311.914,134977.6111111111,0.0,
11,4,134977.6111111111,361.07,134977.6111111111,0.0,
12,0,135400.86111111112,335.124,135400.86111111112,0.0,
12,1,135400.86111111112,332.894,135400.86111111112,0.0,
12,2,135400.86111111112,315.703,135400.86111111112,0.0,
12,3,135400.86111111112,301.791,135400.86111111112,0.0,
12,4,135400.86111111112,311.508,135400.86111111112,0.0,
13,0,137162.8611111111,326.667,137162.8611111111,0.0,
13,1,137162.8611111111,316.979,137162.8611111111,0.0,
13,2,137162.8611111111,327.233,137162.8611111111,0.0,
13,3,137162.8611111111,276.54,137162.8611111111,0.0,
13,4,137162.8611111111,312.416,137162.8611111111,0.0,
14,0,136659.44444444444,331.273,136659.44444444444,0.0,
14,1,136659.44444444444,331.02,136659.44444444444,0.0,
14,2,136659.44444444444,347.579,136659.44444444444,0.0,
14,3,136659.44444444444,344.768,136659.44444444444,0.0,
14,4,136659.44444444444,319.58,136659.44444444444,0.0,
15,0,137704.19444444444,341.983,137704.19444444444,0.0,
15,1,137704.19444444444,354.669,137704.19444444444,0.0,
15,2,137704.19444444444,323.633,137704.19444444444,0.0,
15,3,137704.19444444444,295.295,137704.19444444444,0.0,
15,4,137704.19444444444,354.793,137704.19444444444,0.0,
16,0,136601.61111111112,326.698,136601.61111111112,0.0,
16,1,136601.61111111112,343.522,136601.61111111112,0.0,
16,2,136601.61111111112,296.542,136601.61111111112,0.0,
16,3,136601.61111111112,311.6,136601.61111111112,0.0,
16,4,136601.61111111112,331.817,136601.61111111112,0.0,
17,0,137059.94444444444,341.802,137059.94444444444,0.0,
17,1,137059.94444444444,342.203,137059.94444444444,0.0,
17,2,137059.94444444444,295.955,137059.94444444444,0.0,
17,3,137059.94444444444,332.786,137059.94444444444,0.0,
17,4,137059.94444444444,330.429,137059.94444444444,0.0,
18,0,136595.36111111112,308.021,136595.36111111112,0.0,
18,1,136595.36111111112,349.283,136595.36111111112,0.0,
18,2,136595.36111111112,345.028,136595.36111111112,0.0,
18,3,136595.36111111112,314.265,136595.36111111112,0.0,
18,4,136595.36111111112,328.382,136595.36111111112,0.0,
19,0,135928.52777777778,331.069,135928.52777777778,0.0,
19,1,135928.52777777778,340.041,135928.52777777778,0.0,
19,2,135928.52777777778,345.546,135928.52777777778,0.0,
19,3,135928.52777777778,346.181,135928.52777777778,0.0,
19,4,135928.52777777778,339.395,135928.52777777778,0.0,
20,0,135476.27777777778,351.58,135476.27777777778,0.0,
20,1,135476.27777777778,319.913,135476.27777777778,0.0,
20,2,135476.27777777778,329.706,135476.27777777778,0.0,
20,3,135476.27777777778,318.805,135476.27777777778,0.0,
20,4,135476.27777777778,318.651,135476.27777777778,0.0,
21,0,134004.94444444444,297.914,134004.94444444444,0.0,
21,1,134004.94444444444,300.795,134004.94444444444,0.0,
21,2,134004.94444444444,310.412,134004.94444444444,0.0,
21,3,134004.94444444444,318.473,134004.94444444444,0.0,
21,4,134004.94444444444,354.962,134004.94444444444,0.0,
22,0,131015.61111111111,304.746,131015.61111111111,0.0,
22,1,131015.61111111111,289.124,131015.61111111111,0.0,
22,2,131015.61111111111,340.704,131015.61111111111,0.0,
22,3,131015.61111111111,322.673,131015.61111111111,0.0,
22,4,131015.61111111111,259.85,131015.61111111111,0.0,
23,0,130405.11111111111,299.364,130405.11111111111,0.0,
23,1,130405.11111111111,303.786,130405.11111111111,0.0,
23,2,130405.11111111111,331.631,130405.11111111111,0.0,
23,3,130405.11111111111,313.84,130405.11111111111,0.0,
23,4,130405.11111111111,299.03,130405.11111111111,0.0,
24,0,128888.69444444447,306.886,128888.69444444447,0.0,
24,1,128888.69444444447,320.007,128888.69444444447,0.0,
24,2,128888.69444444447,330.722,128888.69444444447,0.0,
24,3,128888.69444444447,334.639,128888.69444444447,0.0,
24,4,128888.69444444447,327.228,128888.69444444447,0.0,
25,0,129288.11111111112,279.403,129288.11111111112,0.0,
25,1,129288.11111111112,292.984,129288.11111111112,0.0,
25,2,129288.11111111112,320.802,129288.11111111112,0.0,
25,3,129288.11111111112,272.087,129288.11111111112,0.0,
25,4,129288.11111111112,311.182,129288.11111111112,0.0,
26,0,127220.11111111111,286.148,127220.11111111111,0.0,
26,1,127220.11111111111,327.554,127220.11111111111,0.0,
26,2,127220.11111111111,321.354,127220.11111111111,0.0,
26,3,127220.11111111111,280.987,127220.11111111111,0.0,
26,4,127220.11111111111,317.305,127220.11111111111,0.0,
27,0,127450.11111111108,330.496,127450.11111111108,0.0,
27,1,127450.11111111108,298.415,127450.11111111108,0.0,
27,2,127450.11111111108,294.556,127450.11111111108,0.0,
27,3,127450.11111111108,274.129,127450.11111111108,0.0,
27,4,127450.11111111108,315.003,127450.11111111108,0.0,
28,0,125356.3611111111,296.152,125356.3611111111,0.0,
28,1,125356.3611111111,307.162,125356.3611111111,0.0,
28,2,125356.3611111111,299.632,125356.3611111111,0.0,
28,3,125356.3611111111,279.293,125356.3611111111,0.0,
28,4,125356.3611111111,287.308,125356.3611111111,0.0,
29,0,124636.1111111111,288.157,124636.1111111111,0.0,
29,1,124636.1111111111,289.689,124636.1111111111,0.0,
29,2,124636.1111111111,315.832,124636.1111111111,0.0,
29,3,124636.1111111111,311.554,124636.1111111111,0.0,
29,4,124636.1111111111,333.693,124636.1111111111,0.0,
30,0,124748.86111111112,310.543,124748.86111111112,0.0,
30,1,124748.86111111112,301.481,124748.86111111112,0.0,
30,2,124748.86111111112,312.505,124748.86111111112,0.0,
30,3,124748.86111111112,318.976,124748.86111111112,0.0,
30,4,124748.86111111112,321.41,124748.86111111112,0.0,
31,0,124766.61111111111,309.77,124766.61111111111,0.0,
31,1,124766.61111111111,281.914,124766.61111111111,0.0,
31,2,124766.61111111111,289.44,124766.61111111111,0.0,
31,3,124766.61111111111,326.431,124766.61111111111,0.0,
31,4,124766.61111111111,340.973,124766.61111111111,0.0,
32,0,124857.61111111112,316.909,124857.61111111112,0.0,
32,1,124857.61111111112,301.8,124857.61111111112,0.0,
32,2,124857.61111111112,286.422,124857.61111111112,0.0,
32,3,124857.61111111112,263.333,124857.61111111112,0.0,
32,4,124857.61111111112,304.357,124857.61111111112,0.0,
33,0,123557.69444444442,296.852,123557.69444444442,0.0,
33,1,123557.69444444442,303.345,123557.69444444442,0.0,
33,2,123557.69444444442,284.704,123557.69444444442,0.0,
33,3,123557.69444444442,289.621,123557.69444444442,0.0,
33,4,123557.69444444442,307.186,123557.69444444442,0.0,
34,0,123090.27777777775,285.486,123090.27777777775,0.0,
34,1,123090.27777777775,291.684,123090.27777777775,0.0,
34,2,123090.27777777775,284.013,123090.27777777775,0.0,
34,3,123090.27777777775,279.294,123090.27777777775,0.0,
34,4,123090.27777777775,259.582,123090.27777777775,0.0,
35,0,121091.36111111111,275.63,121091.36111111111,0.0,
35,1,121091.36111111111,292.016,121091.36111111111,0.0,
35,2,121091.36111111111,267.85,121091.36111111111,0.0,
35,3,121091.36111111111,284.648,121091.36111111111,0.0,
35,4,121091.36111111111,262.235,121091.36111111111,0.0,
36,0,121034.44444444445,293.092,121034.44444444445,0.0,
36,1,121034.44444444445,304.187,121034.44444444445,0.0,
36,2,121034.44444444445,289.043,121034.44444444445,0.0,
36,3,121034.44444444445,297.298,121034.44444444445,0.0,
36,4,121034.44444444445,277.942,121034.44444444445,0.0,
37,0,121440.19444444445,298.505,121440.19444444445,0.0,
37,1,121440.19444444445,263.675,121440.19444444445,0.0,
37,2,121440.19444444445,250.163,121440.19444444445,0.0,
37,3,121440.19444444445,303.607,121440.19444444445,0.0,
37,4,121440.19444444445,322.514,121440.19444444445,0.0,
38,0,122487.44444444442,297.086,122487.44444444442,0.0,
38,1,122487.44444444442,277.444,122487.44444444442,0.0,
38,2,122487.44444444442,295.322,122487.44444444442,0.0,
38,3,122487.44444444442,307.216,122487.44444444442,0.0,
38,4,122487.44444444442,289.519,122487.44444444442,0.0,
39,0,120747.02777777778,271.44,120747.02777777778,0.0,
39,1,120747.02777777778,274.579,120747.02777777778,0.0,
39,2,120747.02777777778,323.386,120747.02777777778,0.0,
39,3,120747.02777777778,302.752,120747.02777777778,0.0,
39,4,120747.02777777778,305.425,120747.02777777778,0.0,
40,0,120945.77777777777,271.106,120945.77777777777,0.0,
40,1,120945.77777777777,257.911,120945.77777777777,0.0,
40,2,120945.77777777777,270.968,120945.77777777777,0.0,
40,3,120945.77777777777,265.205,120945.77777777777,0.0,
40,4,120945.77777777777,275.23,120945.77777777777,0.0,
41,0,120802.94444444444,288.092,120802.94444444444,0.0,
41,1,120802.94444444444,260.527,120802.94444444444,0.0,
41,2,120802.94444444444,279.505,120802.94444444444,0.0,
41,3,120802.94444444444,266.971,120802.94444444444,0.0,
41,4,120802.94444444444,264.589,120802.94444444444,0.0,
42,0,122078.27777777778,267.256,122078.27777777778,0.0,
42,1,122078.27777777778,259.088,122078.27777777778,0.0,
42,2,122078.27777777778,301.845,122078.27777777778,0.0,
42,3,122078.27777777778,301.544,122078.27777777778,0.0,
42,4,122078.27777777778,278.85,122078.27777777778,0.0,
43,0,121920.02777777778,297.77,121920.02777777778,0.0,
43,1,121920.02777777778,265.276,121920.02777777778,0.0,
43,2,121920.02777777778,302.026,121920.02777777778,0.0,
43,3,121920.02777777778,314.589,121920.02777777778,0.0,
43,4,121920.02777777778,287.388,121920.02777777778,0.0,
44,0,122290.52777777778,302.259,122290.52777777778,0.0,
44,1,122290.52777777778,265.934,122290.52777777778,0.0,
44,2,122290.52777777778,310.574,122290.52777777778,0.0,
44,3,122290.52777777778,287.807,122290.52777777778,0.0,
44,4,122290.52777777778,268.951,122290.52777777778,0.0,
45,0,122208.19444444444,302.43,122208.19444444444,0.0,
45,1,122208.19444444444,280.378,122208.19444444444,0.0,
45,2,122208.19444444444,317.845,122208.19444444444,0.0,
45,3,122208.19444444444,259.941,122208.19444444444,0.0,
45,4,122208.19444444444,265.945,122208.19444444444,0.0,
46,0,123042.69444444444,306.3,123042.69444444444,0.0,
46,1,123042.69444444444,291.692,123042.69444444444,0.0,
46,2,123042.69444444444,306.078,123042.69444444444,0.0,
46,3,123042.69444444444,299.989,123042.69444444444,0.0,
46,4,123042.69444444444,315.643,123042.69444444444,0.0,
47,0,123246.69444444444,275.686,123246.69444444444,0.0,
47,1,123246.69444444444,282.804,123246.69444444444,0.0,
47,2,123246.69444444444,315.139,123246.69444444444,0.0,
47,3,123246.69444444444,287.906,123246.69444444444,0.0,
47,4,123246.69444444444,255.136,123246.69444444444,0.0,
48,0,123414.0277777778,289.384,123414.0277777778,0.0,
48,1,123414.0277777778,299.449,123414.0277777778,0.0,
48,2,123414.0277777778,313.181,123414.0277777778,0.0,
48,3,123414.0277777778,300.643,123414.0277777778,0.0,
48,4,123414.0277777778,293.154,123414.0277777778,0.0,
49,0,122906.52777777775,257.575,122906.52777777775,0.0,
49,1,122906.52777777775,291.878,122906.52777777775,0.0,
49,2,122906.52777777775,273.937,122906.52777777775,0.0,
49,3,122906.52777777775,299.693,122906.52777777775,0.0,
49,4,122906.52777777775,313.891,122906.52777777775,0.0,
50,0,121925.52777777778,271.324,121925.52777777778,0.0,
50,1,121925.52777777778,339.634,121925.52777777778,0.0,
50,2,121925.52777777778,292.764,121925.52777777778,0.0,
50,3,121925.52777777778,302.711,121925.52777777778,0.0,
50,4,121925.52777777778,296.068,121925.52777777778,0.0,
51,0,122365.02777777778,329.558,122365.02777777778,0.0,
51,1,122365.02777777778,262.68,122365.02777777778,0.0,
51,2,122365.02777777778,285.943,122365.02777777778,0.0,
51,3,122365.02777777778,278.645,122365.02777777778,0.0,
51,4,122365.02777777778,289.956,122365.02777777778,0.0,
52,0,122797.36111111111,287.975,122797.36111111111,0.0,
52,1,122797.36111111111,309.384,122797.36111111111,0.0,
52,2,122797.36111111111,284.817,122797.36111111111,0.0,
52,3,122797.36111111111,320.079,122797.36111111111,0.0,
52,4,122797.36111111111,288.994,122797.36111111111,0.0,
53,0,123467.94444444444,320.169,123467.94444444444,0.0,
53,1,123467.94444444444,294.985,123467.94444444444,0.0,
53,2,123467.94444444444,316.636,123467.94444444444,0.0,
53,3,123467.94444444444,299.16,123467.94444444444,0.0,
53,4,123467.94444444444,304.487,123467.94444444444,0.0,
54,0,124178.36111111111,313.442,124178.36111111111,0.0,
54,1,124178.36111111111,318.209,124178.36111111111,0.0,
54,2,124178.36111111111,303.255,124178.36111111111,0.0,
54,3,124178.36111111111,320.098,124178.36111111111,0.0,
54,4,124178.36111111111,325.306,124178.36111111111,0.0,
55,0,122445.36111111111,314.643,122445.36111111111,0.0,
55,1,122445.36111111111,268.713,122445.36111111111,0.0,
55,2,122445.36111111111,295.961,122445.36111111111,0.0,
55,3,122445.36111111111,295.319,122445.36111111111,0.0,
55,4,122445.36111111111,322.004,122445.36111111111,0.0,
56,0,122728.94444444444,286.274,122728.94444444444,0.0,
56,1,122728.94444444444,310.947,122728.94444444444,0.0,
56,2,122728.94444444444,279.697,122728.94444444444,0.0,
56,3,122728.94444444444,287.51,122728.94444444444,0.0,
56,4,122728.94444444444,316.207,122728.94444444444,0.0,
57,0,122556.44444444447,302.179,122556.44444444447,0.0,
57,1,122556.44444444447,334.147,122556.44444444447,0.0,
57,2,122556.44444444447,304.024,122556.44444444447,0.0,
57,3,122556.44444444447,311.809,122556.44444444447,0.0,
57,4,122556.44444444447,296.529,122556.44444444447,0.0,
58,0,120799.02777777778,327.854,120799.02777777778,0.0,
58,1,120799.02777777778,297.569,120799.02777777778,0.0,
58,2,120799.02777777778,289.512,120799.02777777778,0.0,
58,3,120799.02777777778,302.564,120799.02777777778,0.0,
58,4,120799.02777777778,284.266,120799.02777777778,0.0,
59,0,121000.44444444444,316.14,121000.44444444444,0.0,
59,1,121000.44444444444,268.785,121000.44444444444,0.0,
59,2,121000.44444444444,308.946,121000.44444444444,0.0,
59,3,121000.44444444444,300.033,121000.44444444444,0.0,
59,4,121000.44444444444,281.338,121000.44444444444,0.0,
60,0,121022.36111111111,293.481,121022.36111111111,0.0,
60,1,121022.36111111111,297.016,121022.36111111111,0.0,
60,2,121022.36111111111,299.346,121022.36111111111,0.0,
60,3,121022.36111111111,317.993,121022.36111111111,0.0,
60,4,121022.36111111111,292.625,121022.36111111111,0.0,
61,0,121456.86111111111,273.805,121456.86111111111,0.0,
61,1,121456.86111111111,307.325,121456.86111111111,0.0,
61,2,121456.86111111111,283.675,121456.86111111111,0.0,
61,3,121456.86111111111,292.691,121456.86111111111,0.0,
61,4,121456.86111111111,293.558,121456.86111111111,0.0,
62,0,122613.69444444445,312.312,122613.69444444445,0.0,
62,1,122613.69444444445,316.268,122613.69444444445,0.0,
62,2,122613.69444444445,306.078,122613.69444444445,0.0,
62,3,122613.69444444445,259.647,122613.69444444445,0.0,
62,4,122613.69444444445,285.912,122613.69444444445,0.0,
63,0,121829.69444444444,315.483,121829.69444444444,0.0,
63,1,121829.69444444444,315.603,121829.69444444444,0.0,
63,2,121829.69444444444,305.791,121829.69444444444,0.0,
63,3,121829.69444444444,308.223,121829.69444444444,0.0,
63,4,121829.69444444444,289.179,121829.69444444444,0.0,
64,0,122553.11111111111,300.251,122553.11111111111,0.0,
64,1,122553.11111111111,274.736,122553.11111111111,0.0,
64,2,122553.11111111111,302.017,122553.11111111111,0.0,
64,3,122553.11111111111,305.094,122553.11111111111,0.0,
64,4,122553.11111111111,304.965,122553.11111111111,0.0,
65,0,120406.11111111111,271.045,120406.11111111111,0.0,
65,1,120406.11111111111,309.85,120406.11111111111,0.0,
65,2,120406.11111111111,302.514,120406.11111111111,0.0,
65,3,120406.11111111111,283.618,120406.11111111111,0.0,
65,4,120406.11111111111,296.115,120406.11111111111,0.0,
66,0,121059.94444444445,272.754,121059.94444444445,0.0,
66,1,121059.94444444445,323.573,121059.94444444445,0.0,
66,2,121059.94444444445,298.072,121059.94444444445,0.0,
66,3,121059.94444444445,305.154,121059.94444444445,0.0,
66,4,121059.94444444445,304.69,121059.94444444445,0.0,
67,0,121116.94444444445,271.613,121116.94444444445,0.0,
67,1,121116.94444444445,284.596,121116.94444444445,0.0,
67,2,121116.94444444445,285.856,121116.94444444445,0.0,
67,3,121116.94444444445,289.01,121116.94444444445,0.0,
67,4,121116.94444444445,297.897,121116.94444444445,0.0,
68,0,121930.86111111112,279.12,121930.86111111112,0.0,
68,1,121930.86111111112,304.653,121930.86111111112,0.0,
68,2,121930.86111111112,305.311,121930.86111111112,0.0,
68,3,121930.86111111112,285.694,121930.86111111112,0.0,
68,4,121930.86111111112,303.08,121930.86111111112,0.0,
69,0,122848.86111111111,275.65,122848.86111111111,0.0,
69,1,122848.86111111111,297.76,122848.86111111111,0.0,
69,2,122848.86111111111,299.528,122848.86111111111,0.0,
69,3,122848.86111111111,314.002,122848.86111111111,0.0,
69,4,122848.86111111111,318.141,122848.86111111111,0.0,
70,0,124253.94444444445,300.317,124253.94444444445,0.0,
70,1,124253.94444444445,311.072,124253.94444444445,0.0,
70,2,124253.94444444445,315.509,124253.94444444445,0.0,
70,3,124253.94444444445,304.116,124253.94444444445,0.0,
70,4,124253.94444444445,271.782,124253.94444444445,0.0,
71,0,121637.11111111112,281.778,121637.11111111112,0.0,
71,1,121637.11111111112,285.485,121637.11111111112,0.0,
71,2,121637.11111111112,292.618,121637.11111111112,0.0,
71,3,121637.11111111112,310.991,121637.11111111112,0.0,
71,4,121637.11111111112,310.604,121637.11111111112,0.0,
72,0,122136.7777777778,315.65,122136.7777777778,0.0,
72,1,122136.7777777778,284.206,122136.7777777778,0.0,
72,2,122136.7777777778,289.061,122136.7777777778,0.0,
72,3,122136.7777777778,309.177,122136.7777777778,0.0,
72,4,122136.7777777778,302.625,122136.7777777778,0.0,
73,0,122403.11111111111,315.35,122403.11111111111,0.0,
73,1,122403.11111111111,274.027,122403.11111111111,0.0,
73,2,122403.11111111111,251.242,122403.11111111111,0.0,
73,3,122403.11111111111,291.916,122403.11111111111,0.0,
73,4,122403.11111111111,292.916,122403.11111111111,0.0,
74,0,120638.02777777778,296.896,120638.02777777778,0.0,
74,1,120638.02777777778,280.435,120638.02777777778,0.0,
74,2,120638.02777777778,291.876,120638.02777777778,0.0,
74,3,120638.02777777778,342.02,120638.02777777778,0.0,
74,4,120638.02777777778,310.775,120638.02777777778,0.0,
75,0,120489.19444444445,295.07,120489.19444444445,0.0,
75,1,120489.19444444445,326.395,120489.19444444445,0.0,
75,2,120489.19444444445,273.499,120489.19444444445,0.0,
75,3,120489.19444444445,318.315,120489.19444444445,0.0,
75,4,120489.19444444445,296.613,120489.19444444445,0.0,
76,0,119600.19444444444,319.883,119600.19444444444,0.0,
76,1,119600.19444444444,307.912,119600.19444444444,0.0,
76,2,119600.19444444444,290.212,119600.19444444444,0.0,
76,3,119600.19444444444,289.257,119600.19444444444,0.0,
76,4,119600.19444444444,311.403,119600.19444444444,0.0,
77,0,119475.19444444444,275.764,119475.19444444444,0.0,
77,1,119475.19444444444,310.131,119475.19444444444,0.0,
77,2,119475.19444444444,297.817,119475.19444444444,0.0,
77,3,119475.19444444444,312.601,119475.19444444444,0.0,
77,4,119475.19444444444,297.21,119475.19444444444,0.0,
78,0,120566.36111111111,290.13,120566.36111111111,0.0,
78,1,120566.36111111111,306.042,120566.36111111111,0.0,
