instance,run,LNS,time,z_FCFS,Gap-FCFS-LNS,
0,0,132726.52777777778,32.534,132726.52777777778,0.0,
0,1,132726.52777777778,28.465,132726.52777777778,0.0,
0,2,132726.52777777778,27.411,132726.52777777778,0.0,
0,3,132726.52777777778,38.674,132726.52777777778,0.0,
0,4,132726.52777777778,19.911,132726.52777777778,0.0,
1,0,133579.27777777778,30.0,133579.27777777778,0.0,
1,1,133579.27777777778,29.918,133579.27777777778,0.0,
1,2,133579.27777777778,31.361,133579.27777777778,0.0,
1,3,133579.27777777778,27.517,133579.27777777778,0.0,
1,4,133579.27777777778,22.083,133579.27777777778,0.0,
2,0,132772.11111111112,30.593,132772.11111111112,0.0,
2,1,132772.11111111112,25.975,132772.11111111112,0.0,
2,2,132772.11111111112,27.297,132772.11111111112,0.0,
2,3,132772.11111111112,38.912,132772.11111111112,0.0,
2,4,132772.11111111112,25.387,132772.11111111112,0.0,
3,0,133516.02777777778,29.006,133516.02777777778,0.0,
3,1,133516.02777777778,28.617,133516.02777777778,0.0,
3,2,133516.02777777778,29.548,133516.02777777778,0.0,
3,3,133516.02777777778,21.658,133516.02777777778,0.0,
3,4,133516.02777777778,37.49,133516.02777777778,0.0,
4,0,134752.69444444447,40.693,134752.69444444447,0.0,
4,1,134752.69444444447,24.281,134752.69444444447,0.0,
4,2,134752.69444444447,17.013,134752.69444444447,0.0,
4,3,134752.69444444447,39.531,134752.69444444447,0.0,
4,4,134752.69444444447,30.9,134752.69444444447,0.0,
5,0,134137.94444444444,32.763,134137.94444444444,0.0,
5,1,134137.94444444444,38.405,134137.94444444444,0.0,
5,2,134137.94444444444,26.894,134137.94444444444,0.0,
5,3,134137.94444444444,34.857,134137.94444444444,0.0,
5,4,134137.94444444444,29.682,134137.94444444444,0.0,
6,0,134328.69444444447,19.982,134328.69444444447,0.0,
6,1,134328.69444444447,41.793,134328.69444444447,0.0,
6,2,134328.69444444447,29.638,134328.69444444447,0.0,
6,3,134328.69444444447,27.792,134328.69444444447,0.0,
6,4,134328.69444444447,32.5,134328.69444444447,0.0,
7,0,133353.61111111112,24.957,133353.61111111112,0.0,
7,1,133353.61111111112,28.873,133353.61111111112,0.0,
7,2,133353.61111111112,35.8,133353.61111111112,0.0,
7,3,133353.61111111112,39.331,133353.61111111112,0.0,
7,4,133353.61111111112,21.144,133353.61111111112,0.0,
8,0,134854.94444444444,30.743,134854.94444444444,0.0,
8,1,134854.94444444444,39.227,134854.94444444444,0.0,
8,2,134854.94444444444,27.961,134854.94444444444,0.0,
