instance,run,LNS,time,z_FCFS,Gap-FCFS-LNS
0,0,41061.16666666667,1.305,41061.16666666667,0.0
0,1,41061.16666666667,0.97,41061.16666666667,0.0
0,2,41061.16666666667,0.724,41061.16666666667,0.0
0,3,41061.16666666667,1.444,41061.16666666667,0.0
0,4,41061.16666666667,0.747,41061.16666666667,0.0
1,0,38190.66666666667,0.807,38190.66666666667,0.0
1,1,38190.66666666667,1.264,38190.66666666667,0.0
1,2,38190.66666666667,1.058,38190.66666666667,0.0
1,3,38190.66666666667,1.019,38190.66666666667,0.0
1,4,38190.66666666667,0.994,38190.66666666667,0.0
2,0,37383.666666666664,1.302,37383.666666666664,0.0
2,1,37383.666666666664,0.796,37383.666666666664,0.0
2,2,37383.666666666664,0.962,37383.666666666664,0.0
2,3,37383.666666666664,1.193,37383.666666666664,0.0
2,4,37383.666666666664,1.301,37383.666666666664,0.0
3,0,37162.666666666664,0.793,37162.666666666664,0.0
3,1,37162.666666666664,0.904,37162.666666666664,0.0
3,2,37162.666666666664,0.982,37162.666666666664,0.0
3,3,37162.666666666664,1.244,37162.666666666664,0.0
3,4,37162.666666666664,1.132,37162.666666666664,0.0
4,0,37097.66666666667,1.21,37097.66666666667,0.0
4,1,37097.66666666667,0.993,37097.66666666667,0.0
4,2,37097.66666666667,1.146,37097.66666666667,0.0
4,3,37097.66666666667,0.627,37097.66666666667,0.0
4,4,37097.66666666667,0.911,37097.66666666667,0.0
5,0,36816.166666666664,0.685,36816.166666666664,0.0
5,1,36816.166666666664,1.499,36816.166666666664,0.0
5,2,36816.166666666664,0.829,36816.166666666664,0.0
5,3,36816.166666666664,1.101,36816.166666666664,0.0
5,4,36816.166666666664,1.346,36816.166666666664,0.0
6,0,36920.166666666664,1.022,36920.166666666664,0.0
6,1,36920.166666666664,0.806,36920.166666666664,0.0
6,2,36920.166666666664,1.116,36920.166666666664,0.0
6,3,36920.166666666664,1.332,36920.166666666664,0.0
6,4,36920.166666666664,0.778,36920.166666666664,0.0
7,0,36731.66666666667,0.932,36731.66666666667,0.0
7,1,36731.66666666667,1.126,36731.66666666667,0.0
7,2,36731.66666666667,0.784,36731.66666666667,0.0
7,3,36731.66666666667,1.123,36731.66666666667,0.0
7,4,36731.66666666667,0.869,36731.66666666667,0.0
8,0,37097.666666666664,1.151,37097.666666666664,0.0
