instance,run,LNS,time,z_FCFS,Gap-FCFS-LNS,
0,0,36378.91666666667,1.222,36378.91666666667,0.0,
0,1,34976.666666666664,1.14,36378.91666666667,3.8545677784980965,
0,2,33715.166666666664,2.053,36378.91666666667,7.322235635567322,
0,3,36378.91666666667,1.206,36378.91666666667,0.0,
0,4,34187.41666666667,1.12,36378.91666666667,6.024093625657717,
1,0,32781.416666666664,1.007,34097.91666666667,3.860939695729232,
1,1,32860.66666666667,1.192,34097.91666666667,3.628520804056943,
1,2,32951.91666666667,0.75,34097.91666666667,3.3609091464532286,
1,3,33034.66666666667,1.095,34097.91666666667,3.118225698050956,
1,4,34097.91666666667,1.164,34097.91666666667,0.0,
2,0,33574.166666666664,0.882,33574.166666666664,0.0,
2,1,32113.416666666664,2.012,33574.166666666664,4.350815359031001,
2,2,32718.166666666675,1.0,33574.166666666664,2.5495792896323737,
2,3,32727.416666666664,1.506,33574.166666666664,2.5220283452058876,
2,4,31867.16666666667,1.554,33574.166666666664,5.084266176872077,
3,0,33664.166666666664,1.056,33664.166666666664,0.0,
3,1,33366.41666666668,1.016,33664.166666666664,0.8844716191795989,
3,2,33664.166666666664,0.92,33664.166666666664,0.0,
3,3,33664.166666666664,0.972,33664.166666666664,0.0,
3,4,31944.666666666664,1.371,33664.166666666664,5.107805035027354,
4,0,34766.166666666664,1.079,34766.166666666664,0.0,
4,1,34766.166666666664,0.999,34766.166666666664,0.0,
4,2,33018.91666666666,1.568,34766.166666666664,5.025719449464779,
4,3,34766.166666666664,1.296,34766.166666666664,0.0,
4,4,32741.166666666657,1.658,34766.166666666664,5.824628350359806,
5,0,34703.166666666664,0.877,34703.166666666664,0.0,
5,1,33112.91666666667,1.501,34703.166666666664,4.582434840240303,
5,2,33786.666666666664,1.711,34703.166666666664,2.6409693639869563,
5,3,34703.166666666664,1.132,34703.166666666664,0.0,
5,4,34703.166666666664,0.843,34703.166666666664,0.0,
6,0,34167.666666666664,0.859,34167.666666666664,0.0,
6,1,32846.416666666664,0.954,34167.666666666664,3.8669599914148858,
6,2,34167.666666666664,0.877,34167.666666666664,0.0,
6,3,34167.666666666664,1.101,34167.666666666664,0.0,
6,4,34167.666666666664,0.775,34167.666666666664,0.0,
7,0,34632.916666666664,0.862,34632.916666666664,0.0,
7,1,34632.916666666664,1.13,34632.916666666664,0.0,
7,2,33552.916666666664,1.008,34632.916666666664,3.118420577725911,
7,3,34632.916666666664,0.796,34632.916666666664,0.0,
7,4,34632.916666666664,0.886,34632.916666666664,0.0,
8,0,31592.666666666664,1.341,34202.666666666664,7.630983938874162,
8,1,32661.416666666664,1.374,34202.666666666664,4.506227584593794,
8,2,34202.666666666664,0.791,34202.666666666664,0.0,
8,3,32935.66666666667,1.802,34202.666666666664,3.704389521284869,
8,4,31708.916666666664,1.3,34202.666666666664,7.291098159987526,
9,0,31590.416666666664,0.868,34214.666666666664,7.6699563540002345,
9,1,31967.916666666664,0.966,34214.666666666664,6.566628346518063,
9,2,32981.66666666667,1.05,34214.666666666664,3.603717703908634,
9,3,31826.416666666664,1.257,34214.666666666664,6.980193679123963,
9,4,34214.666666666664,0.975,34214.666666666664,0.0,
10,0,30600.16666666667,1.091,33585.91666666667,8.889886882150503,
10,1,31366.416666666664,1.22,33585.91666666667,6.608424662122785,
10,2,32595.166666666664,1.082,33585.91666666667,2.949897154313213,
10,3,30166.166666666668,1.75,33585.91666666667,10.182095173820384,
10,4,31454.66666666667,1.157,33585.91666666667,6.3456657180216895,
11,0,36032.16666666667,0.86,36032.16666666667,0.0,
11,1,34724.666666666664,1.711,36032.16666666667,3.6287021318914316,
11,2,36032.16666666667,0.737,36032.16666666667,0.0,
11,3,33274.41666666667,1.04,36032.16666666667,7.653578052943434,
11,4,34612.16666666667,1.174,36032.16666666667,3.940923156623942,
12,0,36396.416666666664,0.897,37373.91666666667,2.61546042583176,
12,1,35549.41666666666,1.845,37373.91666666667,4.881746851079334,
12,2,35133.916666666664,0.877,37373.91666666667,5.993484760985287,
12,3,36169.166666666664,1.36,37373.91666666667,3.223504806159395,
12,4,37373.91666666667,0.843,37373.91666666667,0.0,
13,0,34837.166666666664,1.968,37349.91666666667,6.727591984810338,
13,1,35720.41666666666,1.633,37349.91666666667,4.362794205252616,
13,2,37349.91666666667,1.164,37349.91666666667,0.0,
13,3,37349.91666666667,1.038,37349.91666666667,0.0,
13,4,37349.91666666667,0.496,37349.91666666667,0.0,
14,0,34286.666666666664,1.311,37268.16666666667,8.00012521857351,
14,1,33834.16666666666,1.867,37268.16666666667,9.214298172256074,
14,2,34396.66666666666,1.026,37268.16666666667,7.704967152484956,
14,3,37268.16666666667,0.96,37268.16666666667,0.0,
14,4,37268.16666666667,0.756,37268.16666666667,0.0,
15,0,37123.166666666664,0.799,37123.166666666664,0.0,
15,1,34581.666666666664,1.092,37123.166666666664,6.846129326251802,
15,2,37123.166666666664,0.857,37123.166666666664,0.0,
15,3,35048.916666666664,0.916,37123.166666666664,5.5874813122084594,
15,4,36083.916666666664,1.017,37123.166666666664,2.7994648445041057,
