instance,run,LNS,time,z_FCFS,Gap-FCFS-LNS,column 7
0,0,1277.0,0.159,1408.6666666666667,9.346900141978235,
0,1,1240.3333333333335,0.047,1408.6666666666667,11.949834358731655,
0,2,1240.3333333333335,0.055,1408.6666666666667,11.949834358731655,
0,3,1240.3333333333335,0.073,1408.6666666666667,11.949834358731655,
0,4,1277.0,0.036,1408.6666666666667,9.346900141978235,
1,0,1350.3333333333335,0.043,1543.6666666666667,12.524292809328433,
1,1,1350.3333333333335,0.089,1543.6666666666667,12.524292809328433,
1,2,1350.3333333333335,0.067,1543.6666666666667,12.524292809328433,
1,3,1350.3333333333335,0.043,1543.6666666666667,12.524292809328433,
1,4,1350.3333333333335,0.035,1543.6666666666667,12.524292809328433,
2,0,1289.6666666666667,0.035,1621.6666666666665,20.472764645426505,
2,1,1289.6666666666667,0.038,1621.6666666666665,20.472764645426505,
2,2,1289.6666666666667,0.053,1621.6666666666665,20.472764645426505,
2,3,1289.6666666666667,0.035,1621.6666666666665,20.472764645426505,
2,4,1289.6666666666667,0.041,1621.6666666666665,20.472764645426505,
3,0,1358.0,0.029,1358.0,0.0,
3,1,1358.0,0.037,1358.0,0.0,
3,2,1358.0,0.034,1358.0,0.0,
3,3,1358.0,0.03,1358.0,0.0,
3,4,1358.0,0.029,1358.0,0.0,
4,0,1555.6666666666667,0.038,1654.6666666666665,5.983078162771945,
4,1,1534.6666666666667,0.037,1654.6666666666665,7.252215954875088,
4,2,1555.6666666666667,0.037,1654.6666666666665,5.983078162771945,
4,3,1555.6666666666667,0.05,1654.6666666666665,5.983078162771945,
4,4,1534.6666666666667,0.036,1654.6666666666665,7.252215954875088,
5,0,1286.6666666666667,0.033,1538.3333333333335,16.359696641386787,
5,1,1286.6666666666667,0.035,1538.3333333333335,16.359696641386787,
5,2,1285.0,0.034,1538.3333333333335,16.46803900325028,
5,3,1285.0,0.062,1538.3333333333335,16.46803900325028,
5,4,1286.6666666666667,0.038,1538.3333333333335,16.359696641386787,
6,0,1265.6666666666667,0.034,1532.3333333333335,17.402653904720474,
6,1,1265.6666666666667,0.033,1532.3333333333335,17.402653904720474,
6,2,1265.6666666666667,0.034,1532.3333333333335,17.402653904720474,
6,3,1265.6666666666667,0.039,1532.3333333333335,17.402653904720474,
6,4,1265.6666666666667,0.034,1532.3333333333335,17.402653904720474,
7,0,1518.3333333333335,0.037,1591.6666666666665,4.607329842931919,
7,1,1518.3333333333333,0.037,1591.6666666666665,4.607329842931933,
