instance,run,LB,UB,FCFF,time_H,G(UB-LB),LBNoLift,UBNoLS,LBImprov,UBImprov,G(FCFS-UB),prodSeq,logiSeq
0,0,137872.75484778732,140773.83333333326,141985.58333333337,0.758,2.060808047101038,134771.48257434895,141985.58333333337,2.249372819787493,0.8534317157787377,0.8534317157787377,10-12-2-11-14-8-3-7-5-16-0-19-18-1-6-4-13-15-17-9,36-42-43-44-9-51-49-50-52-29-31-24-27-17-19-18-20-57-0-66-67-68-64-3-23-21-13-15-16-55-61-35-34-33 | 37-41-6-8-7-38-39-40-28-30-10-12-11-26-25-56-58-59-1-2-62-65-63-4-5-22-14-46-47-45-48-54-53-60-32
0,1,137843.85659078893,140826.33333333334,141985.58333333337,0.751,2.1178402305518724,134793.20435263045,141985.58333333337,2.2131216534479434,0.8164561308161183,0.8164561308161183,10-12-2-11-14-8-3-7-5-16-0-19-18-1-6-4-13-15-17-9,36-42-43-44-9-51-49-50-52-29-31-24-27-17-19-18-20-57-0-66-67-68-64-3-23-21-13-15-16-55-61-35-34-33 | 37-41-6-8-7-38-39-40-28-30-10-12-11-26-25-56-58-59-1-2-62-65-63-4-5-22-14-46-47-45-48-54-53-60-32
0,2,137850.28077875363,140047.08333333337,141985.58333333337,0.818,1.5686171409589575,134714.03831337165,141985.58333333337,2.2751077819098313,1.3652794561889203,1.3652794561889203,10-12-11-2-14-7-19-8-5-16-18-13-3-0-9-1-4-6-15-17,36-41-44-42-40-8-7-49-50-52-66-67-28-30-29-17-18-20-57-59-65-45-46-48-0-1-32-34-3-16-15-14-23-21-55-53-61-60 | 37-43-38-39-6-9-51-24-26-25-27-68-31-19-56-58-62-64-63-47-10-12-11-2-33-35-4-5-13-22-54
0,3,137839.5534305272,141866.83333333326,141985.58333333337,0.746,2.8387747919511876,134719.23307422557,141985.58333333337,2.263733651657754,0.08363525170110561,0.08363525170110561,10-12-11-2-14-7-19-8-5-16-18-13-3-0-9-1-4-6-15-17,36-41-44-42-40-8-7-49-50-52-66-67-28-30-29-17-18-20-57-59-65-45-46-48-0-1-32-34-3-16-15-14-23-21-55-53-61-60 | 37-43-38-39-6-9-51-24-26-25-27-68-31-19-56-58-62-64-63-47-10-12-11-2-33-35-4-5-13-22-54
0,4,137843.06275850703,140883.58333333337,141985.58333333337,0.765,2.158179471934929,134766.26203709331,141985.58333333337,2.2321041478917896,0.7761351357854991,0.7761351357854991,10-12-11-2-14-7-19-8-5-16-18-13-3-0-9-1-4-6-15-17,36-41-44-42-40-8-7-49-50-52-66-67-28-30-29-17-18-20-57-59-65-45-46-48-0-1-32-34-3-16-15-14-23-21-55-53-61-60 | 37-43-38-39-6-9-51-24-26-25-27-68-31-19-56-58-62-64-63-47-10-12-11-2-33-35-4-5-13-22-54
1,0,138215.46598202473,141305.58333333337,142349.58333333337,0.815,2.1868331586156753,135079.18025892836,142349.58333333337,2.269127916194453,0.7334057294395544,0.7334057294395544,9-11-10-13-6-1-15-7-18-12-2-17-4-3-0-8-5-14-16-19,34-38-39-35-37-46-49-21-3-24-6-55-25-27-26-64-65-43-45-8-59-14-16-15-11-10-2-0-32-31-19-18-50-52-57-68-67 | 33-40-41-36-48-47-23-22-5-4-53-54-56-28-63-42-44-7-9-62-61-60-17-12-13-1-30-29-20-51-58-66-69
1,1,138202.89173943273,142349.58333333337,142349.58333333337,0.751,2.9130338823616566,135098.02122216806,142349.58333333337,2.246603148593002,0.0,0.0,9-11-10-13-6-1-15-7-18-12-2-17-4-3-0-8-5-14-16-19,34-38-39-35-37-46-49-21-3-24-6-55-25-27-26-64-65-43-45-8-59-14-16-15-11-10-2-0-32-31-19-18-50-52-57-68-67 | 33-40-41-36-48-47-23-22-5-4-53-54-56-28-63-42-44-7-9-62-61-60-17-12-13-1-30-29-20-51-58-66-69
1,2,138212.58377283928,141169.33333333334,142349.58333333337,0.784,2.094470159119117,135075.92318221985,142349.58333333337,2.2694464606599944,0.8291207970987121,0.8291207970987121,9-11-13-10-15-6-18-7-12-1-17-2-8-5-14-0-3-16-4-19,33-39-40-41-35-49-37-54-56-22-24-65-25-26-42-43-45-6-4-60-62-8-29-31-30-19-51-50-52-11-14-16-15-69-67-68 | 34-38-46-48-47-36-53-55-21-23-63-64-27-28-44-3-5-59-61-7-9-32-20-18-2-1-0-12-10-13-57-58-17-66
1,3,138210.46471643235,140810.83333333334,142349.58333333337,0.813,1.8467106225735392,135159.02913852595,142349.58333333337,2.207818043421722,1.0809655806275247,1.0809655806275247,9-11-10-1-13-18-6-4-7-15-17-2-12-8-0-5-3-14-16-19,33-39-40-36-4-3-48-46-47-63-64-65-22-24-15-25-28-53-54-56-60-7-9-42-29-31-32-0-1-19-13-11-51-50-52-68-69 | 34-38-35-41-37-5-6-49-23-21-14-16-17-27-26-55-59-61-62-8-43-44-45-30-2-18-20-10-12-58-57-66-67
1,4,138229.03750797609,141826.08333333337,142349.58333333337,0.765,2.536237158085486,135092.53757535972,142349.58333333337,2.2690600970403088,0.3677566085839145,0.3677566085839145,9-11-10-1-13-18-6-4-7-15-17-2-12-8-0-5-3-14-16-19,33-39-40-36-4-3-48-46-47-63-64-65-22-24-15-25-28-53-54-56-60-7-9-42-29-31-32-0-1-19-13-11-51-50-52-68-69 | 34-38-35-41-37-5-6-49-23-21-14-16-17-27-26-55-59-61-62-8-43-44-45-30-2-18-20-10-12-58-57-66-67
2,0,137116.57256924926,140538.83333333334,142004.83333333337,0.801,2.4350997392778178,134068.8412615388,142004.83333333337,2.2227300833174186,1.0323592272094226,1.0323592272094226,8-19-10-9-17-12-14-6-5-3-16-0-1-11-7-13-2-15-4-18,30-69-35-37-36-32-34-60-62-43-44-50-51-53-25-20-21-14-58-57-2-4-6-41-40-42-47-48-10-7-54-55-63-65 | 31-67-68-70-38-33-61-45-46-52-22-24-23-18-19-11-13-12-56-59-0-1-3-5-39-28-26-27-29-49-9-8-16-15-17-66-64
2,1,137116.07920985948,141117.58333333334,142004.83333333337,0.825,2.83558152637997,134160.04094306103,142004.83333333337,2.1558655147031764,0.6248026769042102,0.6248026769042102,8-19-10-9-17-12-14-6-5-3-16-0-1-11-7-13-2-15-4-18,30-69-35-37-36-32-34-60-62-43-44-50-51-53-25-20-21-14-58-57-2-4-6-41-40-42-47-48-10-7-54-55-63-65 | 31-67-68-70-38-33-61-45-46-52-22-24-23-18-19-11-13-12-56-59-0-1-3-5-39-28-26-27-29-49-9-8-16-15-17-66-64
