instance,CP,CP_q,CP_b,CP_qb,CP_gap,CP_q_gap,CP_b_gap,CP_qb_gap,time_CP,time_CP_q,time_CP_b,time_CP_qb
0,1656.083333,1656.08332,1656.083333,1656.083333,0,0,0,0,1.535,1.074,0.033,0.025
1,1835.833333,1835.833324,1835.833333,1835.833333,9.08E-05,0.050204262,0,0,889.468,900.184,0.102,0.099
2,1675.083333,1675.083333,1675.083333,1675.083333,8.03E-05,8.03E-05,0,0,605.084,506.156,0.082,0.091
3,1693.083333,1693.083329,1693.083333,1693.083333,7.14E-05,4.94E-05,0,0,638.475,243.431,0.087,0.074
4,2044.83332,2044.833324,2044.833333,2044.833333,0.53305076,0.534436382,0,0,900.067,900.126,1.781,1.896
5,1672.083324,1672.083311,1672.083333,1672.083333,0.275683107,2.39E-05,0,0,900.085,753.239,0.229,0.284
6,1651.083311,1651.08332,1651.083333,1651.083333,5.05E-05,0.32796052,0,0,885.78,900.224,0.233,0.255
7,2005.833329,2005.833306,2005.833333,2005.833333,0.555153957,0.554012596,0,0,900.099,900.231,2.292,2.02
8,2029.833302,2029.833302,2029.833333,2029.833333,0.547167161,0.547167161,0,0,900.139,900.151,2.496,2.55
9,1442.333324,1442.333324,1442.333333,1442.333333,0,0,0,0,16.997,17.017,0.1,0.102
10,1248.583333,1248.583333,1248.583333,1248.583333,0,0,0,0,1.262,1.22,0.084,0.086
11,1780.833297,1780.83332,1780.833333,1780.833333,0.373327081,0.444080482,0,0,900.112,900.239,0.39,0.401
12,2002.833306,2002.833306,2002.833333,2002.833333,0.561786401,0.560442499,0,0,900.111,900.122,2.85,2.46
13,2010.583315,2010.583315,2010.583333,2010.583333,0.554855552,0.554855552,0,0,900.129,900.19,3.26,3.428
14,1762.833333,1762.833324,1762.833333,1762.833333,0.377564183,0.349513389,0,0,900.271,900.16,0.472,0.531
15,1816.833324,1816.833333,1816.833333,1816.833333,0.393973352,0.388659068,0,0,900.14,900.161,0.468,0.58
16,1475.333324,1475.333324,1475.333333,1475.333333,0,0,0,0,9.202,9.15,0.125,0.123
